system_id,name,latitude,longitude,elevation,tracking,azimuth,tilt,file_id,file_name,timezone,data_sampling_frequency,issue,number_days
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,219,5242_ac_power_inv_3587.csv,Etc/GMT+7,15,clipping,1881
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,220,5242_ac_power_inv_3588.csv,Etc/GMT+7,15,clipping,1890
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,221,5242_ac_power_inv_3589.csv,Etc/GMT+7,15,clipping,1847
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,222,5242_ac_power_inv_3590.csv,Etc/GMT+7,15,clipping,2001
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,223,5242_ac_power_inv_3591.csv,Etc/GMT+7,15,clipping,2002
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,224,5242_ac_power_inv_3592.csv,Etc/GMT+7,15,clipping,2007
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,225,5242_ac_power_inv_3593.csv,Etc/GMT+7,15,clipping,1998
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,226,5242_ac_power_inv_3594.csv,Etc/GMT+7,15,clipping,1951
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,227,5242_ac_power_inv_3595.csv,Etc/GMT+7,15,clipping,1994
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,228,5242_ac_power_inv_3596.csv,Etc/GMT+7,15,clipping,1987
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,229,5242_ac_power_inv_3597.csv,Etc/GMT+7,15,clipping,2005
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,230,5242_ac_power_inv_3598.csv,Etc/GMT+7,15,clipping,1971
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,231,5242_ac_power_inv_3599.csv,Etc/GMT+7,15,clipping,1940
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,232,5257_ac_power_inv_3746.csv,Etc/GMT+7,15,"soiling, clipping",1693
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,233,5257_ac_power_inv_3747.csv,Etc/GMT+7,15,"soiling, clipping",1699
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,234,5257_ac_power_inv_3748.csv,Etc/GMT+7,15,"soiling, clipping",1698
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,235,5257_ac_power_inv_3749.csv,Etc/GMT+7,15,"soiling, clipping",1702
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,236,5257_ac_power_inv_3750.csv,Etc/GMT+7,15,"soiling, clipping",1703
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,237,5257_ac_power_inv_3751.csv,Etc/GMT+7,15,"soiling, clipping",1691
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,238,5257_ac_power_inv_3752.csv,Etc/GMT+7,15,"soiling, clipping",1695
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,239,5257_ac_power_inv_3753.csv,Etc/GMT+7,15,"soiling, clipping",1699
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,240,5257_ac_power_inv_3754.csv,Etc/GMT+7,15,"soiling, clipping",1704
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,241,5257_ac_power_inv_3755.csv,Etc/GMT+7,15,"soiling, clipping",1695
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,242,5257_ac_power_inv_3756.csv,Etc/GMT+7,15,"soiling, clipping",1698
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,243,5257_ac_power_inv_3757.csv,Etc/GMT+7,15,"soiling, clipping",1695
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,244,5257_ac_power_inv_3758.csv,Etc/GMT+7,15,"soiling, clipping",1695
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,245,5257_ac_power_inv_3759.csv,Etc/GMT+7,15,"soiling, clipping",1703
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,246,5257_ac_power_inv_3760.csv,Etc/GMT+7,15,"soiling, clipping",1693
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,247,5257_ac_power_inv_3761.csv,Etc/GMT+7,15,soiling,1705
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,248,5257_ac_power_inv_3762.csv,Etc/GMT+7,15,"soiling, clipping",1703
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,249,5257_ac_power_inv_3763.csv,Etc/GMT+7,15,soiling,1705
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0.0,False,243.0,7.49,250,5257_ac_power_inv_3764.csv,Etc/GMT+7,15,"soiling, clipping",1693
5273,Sulphur Springs District Office,34.4079181,-118.4670982,1403.0,False,204.5,7.49,432,5273_ac_power_inv_5975.csv,Etc/GMT+8,15,clipping,1819
5273,Sulphur Springs District Office,34.4079181,-118.4670982,1403.0,False,204.5,7.49,433,5273_ac_power_inv_5973.csv,Etc/GMT+8,15,clipping,1950
5273,Sulphur Springs District Office,34.4079181,-118.4670982,1403.0,False,204.5,7.49,434,5273_ac_power_inv_5974.csv,Etc/GMT+8,15,clipping,1950
5273,Sulphur Springs District Office,34.4079181,-118.4670982,1403.0,False,204.5,7.49,436,5273_ac_power_inv_5972.csv,Etc/GMT+8,15,clipping,1950
5273,Sulphur Springs District Office,34.4079181,-118.4670982,1403.0,False,204.5,7.49,437,5273_ac_power_inv_5971.csv,Etc/GMT+8,15,clipping,1950
5291,Alta Loma Victoria Groves,34.1286731,-117.5660026,0.0,False,188.0,7.49,251,5291_ac_power_inv_4104.csv,Etc/GMT+7,15,"soiling, clipping",1959
5291,Alta Loma Victoria Groves,34.1286731,-117.5660026,0.0,False,188.0,7.49,252,5291_ac_power_inv_4105.csv,Etc/GMT+7,15,"soiling, clipping",1957
5291,Alta Loma Victoria Groves,34.1286731,-117.5660026,0.0,False,188.0,7.49,253,5291_ac_power_inv_4106.csv,Etc/GMT+7,15,"soiling, clipping",1959
5291,Alta Loma Victoria Groves,34.1286731,-117.5660026,0.0,False,188.0,7.49,254,5291_ac_power_inv_4107.csv,Etc/GMT+7,15,"soiling, clipping",1929
5291,Alta Loma Victoria Groves,34.1286731,-117.5660026,0.0,False,188.0,7.49,255,5291_ac_power_inv_4108.csv,Etc/GMT+7,15,"soiling, clipping",1959
5297,Baltimore City I,39.436888,-76.2161329,0.0,False,180.0,25.0,256,5297_ac_power_inv_4176.csv,Etc/GMT+4,15,clipping,1219
5297,Baltimore City I,39.436888,-76.2161329,0.0,False,180.0,25.0,257,5297_ac_power_inv_4177.csv,Etc/GMT+4,15,clipping,1211
5297,Baltimore City I,39.436888,-76.2161329,0.0,False,180.0,25.0,258,5297_ac_power_inv_4178.csv,Etc/GMT+4,15,clipping,1217
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,259,5308_ac_power_inv_4258.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,260,5308_ac_power_inv_4259.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,261,5308_ac_power_inv_4260.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,262,5308_ac_power_inv_4261.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,263,5308_ac_power_inv_4262.csv,Etc/GMT+4,15,clipping,1116
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,264,5308_ac_power_inv_4263.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,265,5308_ac_power_inv_4264.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,266,5308_ac_power_inv_4265.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,267,5308_ac_power_inv_4266.csv,Etc/GMT+4,15,clipping,1116
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,268,5308_ac_power_inv_4267.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,269,5308_ac_power_inv_4268.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,270,5308_ac_power_inv_4269.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,271,5308_ac_power_inv_4270.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,272,5308_ac_power_inv_4271.csv,Etc/GMT+4,15,clipping,1129
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,273,5308_ac_power_inv_4272.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,274,5308_ac_power_inv_4273.csv,Etc/GMT+4,15,clipping,1116
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,275,5308_ac_power_inv_4274.csv,Etc/GMT+4,15,clipping,1116
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,276,5308_ac_power_inv_4275.csv,Etc/GMT+4,15,clipping,1116
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,277,5308_ac_power_inv_4276.csv,Etc/GMT+4,15,clipping,1138
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,278,5308_ac_power_inv_4277.csv,Etc/GMT+4,15,clipping,1136
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,279,5308_ac_power_inv_4278.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,280,5308_ac_power_inv_4279.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,281,5308_ac_power_inv_4280.csv,Etc/GMT+4,15,clipping,1144
5308,Evergreen Academy Ave,32.51648,-82.936657,276.0,False,180.0,22.0,282,5308_ac_power_inv_4281.csv,Etc/GMT+4,15,clipping,1115
